,author,title,year,Categories Y-Yes; N-No; TBC-to be confirmed with full-text reading,Reason,Data encoding status,Note,
152,"Cichon, M and Kozlowski, J",Ageing and typical survivorship curves result from optimal resource allocation,2000,N,Not trans-generational,,,
153,"Young, RC and Kitaysky, AS and Haussmann, MF and Descamps, S and Orben, RA and Elliott, KH and Gaston, AJ","Age, Sex, and Telomere Dynamics in a Long-Lived Seabird with Male-Biased Parental Care",2013,N,Not trans-generational,,,
154,"Rose, MR and Mueller, LD",Ageing and immortality,2000,N,Not trans-generational,,,
155,"Galbany, J and Tung, J and Altmann, J and Alberts, SC","Canine Length in Wild Male Baboons: Maturation, Aging and Social Dominance Rank",2015,N,Not bird,,,
156,"Pardo, D and Barbraud, C and Weimerskirch, H",Females better face senescence in the wandering albatross,2013,N,Not trans-generational,,,
157,"Daunt, F and Monaghan, P and Wanless, S and Harris, MP",Parental age and offspring ectoparasite load in European Shags Stictocarbo aristotelis,2001,TBC - YNA,,NA,https://www.researchgate.net/publication/40700797_Parental_age_and_offspring_ectoparasite_load_in_European_Shags_Stictocarbo_aristotelis,
158,"Nussey, DH and Kruuk, LEB and Morris, A and Clements, MN and Pemberton, JM and Clutton-Brock, TH",Inter- and Intrasexual Variation in Aging Patterns across Reproductive Traits in a Wild Red Deer Population,2009,N,Not bird,,,
159,"Shefferson, RP and Roach, DA",Longitudinal analysis in Plantago: strength of selection and reverse age analysis reveal age-indeterminate senescence,2013,N,Not bird,,,
160,"Altwegg, R and Schaub, M and Roulin, A",Age-specific fitness components and their temporal variation in the barn owl,2007,N,Not trans-generational,,,
161,"Rosenfield, RN and Stout, WE and Giovanni, MD and Levine, NH and Cava, JA and Hardin, MG and Haynes, TG",Does breeding population trajectory and age of nesting females influence disparate nestling sex ratios in two populations of Cooper's hawks?,2015,N,Not trans-generational,,,
162,"Dearborn, DC and Anders, AD and Juola, FA",Parent age differentially influences offspring size over the course of development in Laysan albatross,2008,TBC - Y,,Y,,
